"Taxa","Sample","Relative_abundance","Tissue","Timepoint","BP"
"Coprobacillus","CC-14",0,"Feces","recovery","Yes"
"Coprobacillus","CC-15",0,"Feces","recovery","Yes"
"Coprobacillus","CC-16",0.000634554,"MLN","24h","Yes"
"Coprobacillus","CC-17",0,"MLN","baseline","No"
"Coprobacillus","CC-18",0,"Spleen","24h","Yes"
"Coprobacillus","CC-19",0,"MLN","recovery","Yes"
"Coprobacillus","CC-20",0,"Spleen","recovery","Yes"
"Erysipelatoclostridium","CC-1",0.006098874,"Feces","baseline","No"
"Erysipelatoclostridium","CC-2",0.011190653,"Feces","baseline","No"
"Erysipelatoclostridium","CC-3",0.015564008,"Feces","baseline","No"
"Erysipelatoclostridium","CC-4",0.018947893,"Feces","osmotic_diarrhea","Yes"
"Erysipelatoclostridium","CC-5",0.005449388,"Feces","osmotic_diarrhea","Yes"
"Erysipelatoclostridium","CC-6",0.005850614,"Feces","osmotic_diarrhea","Yes"
"Erysipelatoclostridium","CC-7",0.008940853,"Feces","48h","Yes"
"Erysipelatoclostridium","CC-8",0.021772699,"Feces","48h","Yes"
"Erysipelatoclostridium","CC-9",0.016805636,"Feces","48h","Yes"
"Erysipelatoclostridium","CC-10",0.006535948,"Feces","60h","Yes"
"Erysipelatoclostridium","CC-11",0.012308898,"Feces","60h","Yes"
"Erysipelatoclostridium","CC-12",0.018657938,"Feces","60h","Yes"
"Erysipelatoclostridium","CC-13",0.008330367,"Feces","recovery","Yes"
"Erysipelatoclostridium","CC-14",0.010040725,"Feces","recovery","Yes"
"Erysipelatoclostridium","CC-15",0.017463371,"Feces","recovery","Yes"
"Erysipelatoclostridium","CC-16",0.056359965,"MLN","24h","Yes"
"Erysipelatoclostridium","CC-17",0.013759052,"MLN","baseline","No"
"Erysipelatoclostridium","CC-18",0.078003026,"Spleen","24h","Yes"
"Erysipelatoclostridium","CC-19",0.002737048,"MLN","recovery","Yes"
"Erysipelatoclostridium","CC-20",0,"Spleen","recovery","Yes"
"unclassified Erysipelotrichaceae","CC-1",0,"Feces","baseline","No"
"unclassified Erysipelotrichaceae","CC-2",0,"Feces","baseline","No"
"unclassified Erysipelotrichaceae","CC-3",0,"Feces","baseline","No"
"unclassified Erysipelotrichaceae","CC-4",0,"Feces","osmotic_diarrhea","Yes"
"unclassified Erysipelotrichaceae","CC-5",0,"Feces","osmotic_diarrhea","Yes"
"unclassified Erysipelotrichaceae","CC-6",0,"Feces","osmotic_diarrhea","Yes"
"unclassified Erysipelotrichaceae","CC-7",0,"Feces","48h","Yes"
"unclassified Erysipelotrichaceae","CC-8",0,"Feces","48h","Yes"
"unclassified Erysipelotrichaceae","CC-9",0,"Feces","48h","Yes"
"unclassified Erysipelotrichaceae","CC-10",0,"Feces","60h","Yes"
"unclassified Erysipelotrichaceae","CC-11",0,"Feces","60h","Yes"
"unclassified Erysipelotrichaceae","CC-12",0,"Feces","60h","Yes"
"unclassified Erysipelotrichaceae","CC-13",0.000213599,"Feces","recovery","Yes"
"unclassified Erysipelotrichaceae","CC-14",0,"Feces","recovery","Yes"
"unclassified Erysipelotrichaceae","CC-15",0,"Feces","recovery","Yes"
"unclassified Erysipelotrichaceae","CC-16",0,"MLN","24h","Yes"
"unclassified Erysipelotrichaceae","CC-17",0,"MLN","baseline","No"
"unclassified Erysipelotrichaceae","CC-18",0,"Spleen","24h","Yes"
"unclassified Erysipelotrichaceae","CC-19",0,"MLN","recovery","Yes"
"unclassified Erysipelotrichaceae","CC-20",0,"Spleen","recovery","Yes"
"Dielma","CC-1",0.00050226,"Feces","baseline","No"
"Dielma","CC-2",0.001810253,"Feces","baseline","No"
"Dielma","CC-3",0.001000901,"Feces","baseline","No"
"Dielma","CC-4",0.003054101,"Feces","osmotic_diarrhea","Yes"
"Dielma","CC-5",0.000970439,"Feces","osmotic_diarrhea","Yes"
"Dielma","CC-6",0.00123513,"Feces","osmotic_diarrhea","Yes"
"Dielma","CC-7",0,"Feces","48h","Yes"
"Dielma","CC-8",0,"Feces","48h","Yes"
"Dielma","CC-9",0.002585483,"Feces","48h","Yes"
"Dielma","CC-10",0.000992802,"Feces","60h","Yes"
"Dielma","CC-11",0,"Feces","60h","Yes"
"Dielma","CC-12",0.002618658,"Feces","60h","Yes"
"Dielma","CC-13",0.001139195,"Feces","recovery","Yes"
"Dielma","CC-14",0.000631934,"Feces","recovery","Yes"
"Dielma","CC-15",0.002071925,"Feces","recovery","Yes"
"Dielma","CC-16",0,"MLN","24h","Yes"
"Dielma","CC-17",0,"MLN","baseline","No"
"Dielma","CC-18",0,"Spleen","24h","Yes"
"Dielma","CC-19",0,"MLN","recovery","Yes"
"Dielma","CC-20",0,"Spleen","recovery","Yes"
"Dubosiella","CC-1",0,"Feces","baseline","No"
"Dubosiella","CC-2",0,"Feces","baseline","No"
"Dubosiella","CC-3",0,"Feces","baseline","No"
"Dubosiella","CC-4",0.000186986,"Feces","osmotic_diarrhea","Yes"
"Dubosiella","CC-5",0,"Feces","osmotic_diarrhea","Yes"
"Dubosiella","CC-6",0,"Feces","osmotic_diarrhea","Yes"
"Dubosiella","CC-7",0,"Feces","48h","Yes"
"Dubosiella","CC-8",0,"Feces","48h","Yes"
"Dubosiella","CC-9",0,"Feces","48h","Yes"
"Dubosiella","CC-10",0,"Feces","60h","Yes"
"Dubosiella","CC-11",0,"Feces","60h","Yes"
"Dubosiella","CC-12",0,"Feces","60h","Yes"
"Dubosiella","CC-13",0,"Feces","recovery","Yes"
"Dubosiella","CC-14",0,"Feces","recovery","Yes"
"Dubosiella","CC-15",0,"Feces","recovery","Yes"
"Dubosiella","CC-16",0,"MLN","24h","Yes"
"Dubosiella","CC-17",0.000724161,"MLN","baseline","No"
"Dubosiella","CC-18",0,"Spleen","24h","Yes"
"Dubosiella","CC-19",0,"MLN","recovery","Yes"
"Dubosiella","CC-20",0,"Spleen","recovery","Yes"
"Faecalibaculum","CC-1",0.483676544,"Feces","baseline","No"
"Faecalibaculum","CC-2",0.337200691,"Feces","baseline","No"
"Faecalibaculum","CC-3",0.149317719,"Feces","baseline","No"
"Faecalibaculum","CC-4",0.128833209,"Feces","osmotic_diarrhea","Yes"
"Faecalibaculum","CC-5",0.275380711,"Feces","osmotic_diarrhea","Yes"
"Faecalibaculum","CC-6",0.275433921,"Feces","osmotic_diarrhea","Yes"
"Faecalibaculum","CC-7",0.377391522,"Feces","48h","Yes"
"Faecalibaculum","CC-8",0.262404777,"Feces","48h","Yes"
"Faecalibaculum","CC-9",0.173291966,"Feces","48h","Yes"
"Faecalibaculum","CC-10",0.391908662,"Feces","60h","Yes"
"Faecalibaculum","CC-11",0.399607997,"Feces","60h","Yes"
"Faecalibaculum","CC-12",0.20903437,"Feces","60h","Yes"
"Faecalibaculum","CC-13",0.360412958,"Feces","recovery","Yes"
"Faecalibaculum","CC-14",0.377123999,"Feces","recovery","Yes"
"Faecalibaculum","CC-15",0.205120616,"Feces","recovery","Yes"
"Faecalibaculum","CC-16",0.028381886,"MLN","24h","Yes"
"Faecalibaculum","CC-17",0.190717577,"MLN","baseline","No"
"Faecalibaculum","CC-18",0.046475038,"Spleen","24h","Yes"
"Faecalibaculum","CC-19",0.012056044,"MLN","recovery","Yes"
"Faecalibaculum","CC-20",0,"Spleen","recovery","Yes"
"Holdemania","CC-1",0.000861017,"Feces","baseline","No"
"Holdemania","CC-2",0.001398832,"Feces","baseline","No"
"Holdemania","CC-3",0.001134354,"Feces","baseline","No"
"Holdemania","CC-4",0.002617801,"Feces","osmotic_diarrhea","Yes"
"Holdemania","CC-5",0.001269036,"Feces","osmotic_diarrhea","Yes"
"Holdemania","CC-6",0.00123513,"Feces","osmotic_diarrhea","Yes"
"Holdemania","CC-7",0.001187945,"Feces","48h","Yes"
"Holdemania","CC-8",0.00123533,"Feces","48h","Yes"
"Holdemania","CC-9",0.00155129,"Feces","48h","Yes"
"Holdemania","CC-10",0.001241003,"Feces","60h","Yes"
"Holdemania","CC-11",0.001097609,"Feces","60h","Yes"
"Holdemania","CC-12",0.000720131,"Feces","60h","Yes"
"Holdemania","CC-13",0.001423994,"Feces","recovery","Yes"
"Holdemania","CC-14",0.001334082,"Feces","recovery","Yes"
"Holdemania","CC-15",0.001701939,"Feces","recovery","Yes"
"Holdemania","CC-16",0.000749928,"MLN","24h","Yes"
"Holdemania","CC-17",0,"MLN","baseline","No"
"Holdemania","CC-18",0,"Spleen","24h","Yes"
"Holdemania","CC-19",0,"MLN","recovery","Yes"
"Holdemania","CC-20",0,"Spleen","recovery","Yes"
"Turicibacter","CC-1",0.007175145,"Feces","baseline","No"
"Turicibacter","CC-2",0.022216737,"Feces","baseline","No"
"Turicibacter","CC-3",0.000350315,"Feces","baseline","No"
"Turicibacter","CC-4",0.004238345,"Feces","osmotic_diarrhea","Yes"
"Turicibacter","CC-5",0.032099134,"Feces","osmotic_diarrhea","Yes"
"Turicibacter","CC-6",0.044919717,"Feces","osmotic_diarrhea","Yes"
"Turicibacter","CC-7",0.002438414,"Feces","48h","Yes"
"Turicibacter","CC-8",0.000875026,"Feces","48h","Yes"
"Turicibacter","CC-9",0.016223903,"Feces","48h","Yes"
"Turicibacter","CC-10",0.004053942,"Feces","60h","Yes"
"Turicibacter","CC-11",0.001568013,"Feces","60h","Yes"
"Turicibacter","CC-12",0.020490998,"Feces","60h","Yes"
"Turicibacter","CC-13",0.013599146,"Feces","recovery","Yes"
"Turicibacter","CC-14",0.01242803,"Feces","recovery","Yes"
"Turicibacter","CC-15",0.002663904,"Feces","recovery","Yes"
"Turicibacter","CC-16",0,"MLN","24h","Yes"
"Turicibacter","CC-17",0,"MLN","baseline","No"
"Turicibacter","CC-18",0,"Spleen","24h","Yes"
"Turicibacter","CC-19",0,"MLN","recovery","Yes"
"Turicibacter","CC-20",0,"Spleen","recovery","Yes"
"[Clostridium]_innocuum_group","CC-1",0,"Feces","baseline","No"
"[Clostridium]_innocuum_group","CC-2",0.002057105,"Feces","baseline","No"
"[Clostridium]_innocuum_group","CC-3",0.001601441,"Feces","baseline","No"
"[Clostridium]_innocuum_group","CC-4",0.002243829,"Feces","osmotic_diarrhea","Yes"
"[Clostridium]_innocuum_group","CC-5",0.001045088,"Feces","osmotic_diarrhea","Yes"
